customerID,tenure,Contract,PaperlessBilling,PaymentMethod
7590-VHVEG,1,Month-to-month,Yes,Electronic check
5575-GNVDE,34,One year,No,Mailed check
3668-QPYBK,2,Month-to-month,Yes,Mailed check
7795-CFOCW,45,One year,No,Bank transfer (automatic)
9237-HQITU,2,Month-to-month,Yes,Electronic check
9305-CDSKC,8,Month-to-month,Yes,Electronic check
1452-KIOVK,22,Month-to-month,Yes,Credit card (automatic)
6713-OKOMC,10,Month-to-month,No,Mailed check
7892-POOKP,28,Month-to-month,Yes,Electronic check
6388-TABGU,62,One year,No,Bank transfer (automatic)
9763-GRSKD,13,Month-to-month,Yes,Mailed check
7469-LKBCI,16,Two year,No,Credit card (automatic)
8091-TTVAX,58,One year,No,Credit card (automatic)
0280-XJGEX,49,Month-to-month,Yes,Bank transfer (automatic)
5129-JLPIS,25,Month-to-month,Yes,Electronic check
3655-SNQYZ,69,Two year,No,Credit card (automatic)
8191-XWSZG,52,One year,No,Mailed check
9959-WOFKT,71,Two year,No,Bank transfer (automatic)
4190-MFLUW,10,Month-to-month,No,Credit card (automatic)
4183-MYFRB,21,Month-to-month,Yes,Electronic check
8779-QRDMV,1,Month-to-month,Yes,Electronic check
1680-VDCWW,12,One year,No,Bank transfer (automatic)
1066-JKSGK,1,Month-to-month,No,Mailed check
3638-WEABW,58,Two year,Yes,Credit card (automatic)
6322-HRPFA,49,Month-to-month,No,Credit card (automatic)
6865-JZNKO,30,Month-to-month,Yes,Bank transfer (automatic)
6467-CHFZW,47,Month-to-month,Yes,Electronic check
8665-UTDHZ,1,Month-to-month,No,Electronic check
5248-YGIJN,72,Two year,Yes,Credit card (automatic)
8773-HHUOZ,17,Month-to-month,Yes,Mailed check
3841-NFECX,71,Two year,Yes,Credit card (automatic)
4929-XIHVW,2,Month-to-month,Yes,Credit card (automatic)
6827-IEAUQ,27,One year,No,Mailed check
7310-EGVHZ,1,Month-to-month,No,Bank transfer (automatic)
3413-BMNZE,1,Month-to-month,No,Bank transfer (automatic)
6234-RAAPL,72,Two year,No,Bank transfer (automatic)
6047-YHPVI,5,Month-to-month,Yes,Electronic check
6572-ADKRS,46,Month-to-month,Yes,Credit card (automatic)
5380-WJKOV,34,Month-to-month,Yes,Electronic check
8168-UQWWF,11,Month-to-month,Yes,Bank transfer (automatic)
8865-TNMNX,10,One year,No,Mailed check
9489-DEDVP,70,Two year,Yes,Credit card (automatic)
9867-JCZSP,17,One year,No,Mailed check
4671-VJLCL,63,Two year,Yes,Credit card (automatic)
4080-IIARD,13,Month-to-month,Yes,Electronic check
3714-NTNFO,49,Month-to-month,Yes,Electronic check
5948-UJZLF,2,Month-to-month,No,Mailed check
7760-OYPDY,2,Month-to-month,Yes,Electronic check
7639-LIAYI,52,Two year,Yes,Credit card (automatic)
2954-PIBKO,69,Two year,Yes,Credit card (automatic)
8012-SOUDQ,43,Month-to-month,Yes,Electronic check
9420-LOJKX,15,Month-to-month,Yes,Credit card (automatic)
6575-SUVOI,25,Month-to-month,Yes,Credit card (automatic)
7495-OOKFY,8,Month-to-month,Yes,Credit card (automatic)
4667-QONEA,60,One year,Yes,Credit card (automatic)
1658-BYGOY,18,Month-to-month,Yes,Electronic check
8769-KKTPH,63,One year,Yes,Credit card (automatic)
5067-XJQFU,66,One year,Yes,Electronic check
3957-SQXML,34,Two year,No,Credit card (automatic)
5954-BDFSG,72,Two year,Yes,Credit card (automatic)
0434-CSFON,47,Month-to-month,Yes,Electronic check
1215-FIGMP,60,Month-to-month,Yes,Bank transfer (automatic)
0526-SXDJP,72,Two year,No,Bank transfer (automatic)
0557-ASKVU,18,One year,Yes,Credit card (automatic)
5698-BQJOH,9,Month-to-month,No,Electronic check
5122-CYFXA,3,Month-to-month,Yes,Electronic check
8627-ZYGSZ,47,One year,Yes,Electronic check
3410-YOQBQ,31,Two year,No,Mailed check
3170-NMYVV,50,Two year,No,Bank transfer (automatic)
7410-OIEDU,10,Month-to-month,Yes,Mailed check
2273-QCKXA,1,Month-to-month,No,Mailed check
0731-EBJQB,52,One year,Yes,Electronic check
1891-QRQSA,64,Two year,Yes,Bank transfer (automatic)
8028-PNXHQ,62,Two year,Yes,Bank transfer (automatic)
5630-AHZIL,3,Month-to-month,Yes,Bank transfer (automatic)
2673-CXQEU,56,One year,No,Electronic check
6416-JNVRK,46,One year,No,Credit card (automatic)
5590-ZSKRV,8,Month-to-month,No,Mailed check
0191-ZHSKZ,30,Month-to-month,Yes,Electronic check
3887-PBQAO,45,One year,Yes,Credit card (automatic)
5919-TMRGD,1,Month-to-month,Yes,Electronic check
8108-UXRQN,11,Month-to-month,No,Electronic check
9191-MYQKX,7,Month-to-month,Yes,Bank transfer (automatic)
9919-YLNNG,42,Month-to-month,Yes,Bank transfer (automatic)
0318-ZOPWS,49,Two year,Yes,Bank transfer (automatic)
